x,y,response,size,octave
33.00,158.00,28.000000,31.000,0
34.00,149.00,105.000000,31.000,0
26.00,82.00,21.000000,31.000,0
23.00,81.00,42.000000,31.000,0
69.00,101.00,23.000000,31.000,0
62.00,101.00,34.000000,31.000,0
62.00,87.00,26.000000,31.000,0
87.00,314.00,13.000000,31.000,0
81.00,315.00,16.000000,31.000,0
86.00,299.00,7.000000,31.000,0
90.00,179.00,12.000000,31.000,0
74.00,187.00,13.000000,31.000,0
90.00,177.00,7.000000,31.000,0
93.00,101.00,26.000000,31.000,0
109.00,86.00,38.000000,31.000,0
98.00,83.00,37.000000,31.000,0
121.00,335.00,9.000000,31.000,0
111.00,337.00,13.000000,31.000,0
125.00,324.00,35.000000,31.000,0
143.00,187.00,25.000000,31.000,0
135.00,182.00,20.000000,31.000,0
148.00,169.00,42.000000,31.000,0
162.00,243.00,23.000000,31.000,0
153.00,252.00,26.000000,31.000,0
152.00,237.00,21.000000,31.000,0
184.00,291.00,21.000000,31.000,0
173.00,295.00,7.000000,31.000,0
183.00,96.00,23.000000,31.000,0
184.00,83.00,23.000000,31.000,0
172.00,88.00,39.000000,31.000,0
197.00,313.00,9.000000,31.000,0
198.00,299.00,7.000000,31.000,0
189.00,301.00,14.000000,31.000,0
222.00,159.00,29.000000,31.000,0
218.00,147.00,24.000000,31.000,0
208.00,150.00,28.000000,31.000,0
220.00,221.00,20.000000,31.000,0
223.00,217.00,36.000000,31.000,0
207.00,75.00,53.000000,31.000,0
209.00,69.00,40.000000,31.000,0
226.00,53.00,126.000000,31.000,0
226.00,43.00,48.000000,31.000,0
244.00,28.00,27.000000,31.000,0
254.00,19.00,35.000000,31.000,0
250.00,22.00,39.000000,31.000,0
293.00,133.00,106.000000,31.000,0
289.00,133.00,74.000000,31.000,0
311.00,202.00,72.000000,31.000,0
306.00,202.00,52.000000,31.000,0
315.00,332.00,15.000000,31.000,0
307.00,338.00,10.000000,31.000,0
364.00,247.00,31.000000,31.000,0
367.00,237.00,24.000000,31.000,0
364.00,235.00,151.000000,31.000,0
380.00,28.00,26.000000,31.000,0
391.00,19.00,79.000000,31.000,0
378.00,26.00,46.000000,31.000,0
376.00,156.00,28.000000,31.000,0
386.00,145.00,55.000000,31.000,0
384.00,152.00,144.000000,31.000,0
467.00,77.00,27.000000,31.000,0
452.00,75.00,75.000000,31.000,0
451.00,307.00,26.000000,31.000,0
460.00,303.00,33.000000,31.000,0
456.00,303.00,45.000000,31.000,0
479.00,271.00,23.000000,31.000,0
472.00,273.00,21.000000,31.000,0
472.00,255.00,47.000000,31.000,0
485.00,98.00,43.000000,31.000,0
478.00,95.00,30.000000,31.000,0
481.00,91.00,38.000000,31.000,0
595.00,116.00,54.000000,31.000,0
595.00,107.00,49.000000,31.000,0
651.00,221.00,31.000000,31.000,0
656.00,219.00,32.000000,31.000,0
640.00,217.00,37.000000,31.000,0
673.00,139.00,83.000000,31.000,0
668.00,127.00,26.000000,31.000,0
687.00,243.00,28.000000,31.000,0
683.00,244.00,21.000000,31.000,0
692.00,237.00,27.000000,31.000,0
680.00,240.00,58.000000,31.000,0
769.00,228.00,33.000000,31.000,0
759.00,221.00,50.000000,31.000,0
780.00,53.00,20.000000,31.000,0
788.00,41.00,29.000000,31.000,0
777.00,43.00,32.000000,31.000,0
786.00,222.00,44.000000,31.000,0
776.00,230.00,25.000000,31.000,0
805.00,224.00,29.000000,31.000,0
796.00,227.00,45.000000,31.000,0
794.00,220.00,27.000000,31.000,0
827.00,227.00,24.000000,31.000,0
812.00,230.00,34.000000,31.000,0
882.00,265.00,12.000000,31.000,0
869.00,270.00,8.000000,31.000,0
881.00,263.00,7.000000,31.000,0
867.00,257.00,15.000000,31.000,0
951.00,203.00,72.000000,31.000,0
949.00,205.00,36.000000,31.000,0
991.00,230.00,70.000000,31.000,0
983.00,230.00,25.000000,31.000,0
1011.00,245.00,43.000000,31.000,0
1007.00,245.00,31.000000,31.000,0
1013.00,235.00,38.000000,31.000,0
1007.00,231.00,25.000000,31.000,0
1008.00,55.00,141.000000,31.000,0
1007.00,57.00,67.000000,31.000,0
1012.00,45.00,113.000000,31.000,0
1012.00,188.00,143.000000,31.000,0
1004.00,198.00,136.000000,31.000,0
1009.00,316.00,31.000000,31.000,0
1008.00,304.00,48.000000,31.000,0
1025.00,355.00,33.000000,31.000,0
1030.00,341.00,29.000000,31.000,0
1047.00,350.00,35.000000,31.000,0
1040.00,346.00,26.000000,31.000,0
1125.00,308.00,27.000000,31.000,0
1121.00,307.00,22.000000,31.000,0
