x,y,response,size,octave
2.39,73.41,0.008441,2.457,4
2.47,70.33,0.006822,2.208,3
2.52,202.38,0.006447,1.767,0
4.55,82.63,0.006296,2.395,4
5.65,275.11,0.008419,2.733,5
5.71,76.02,0.015270,3.691,9
5.71,76.02,0.015270,3.691,9
5.92,197.22,0.010027,3.824,9
7.22,73.13,0.007574,2.217,3
7.22,73.13,0.007574,2.217,3
7.28,67.89,0.007708,1.941,1
10.69,79.13,0.008123,4.168,10
11.63,67.03,0.006583,2.748,5
11.76,65.94,0.006161,3.999,10
14.06,73.42,0.012787,2.622,5
14.06,73.42,0.012787,2.622,5
14.45,240.82,0.005749,2.523,4
14.51,69.96,0.013880,2.763,5
15.25,101.24,0.005254,3.078,7
16.19,85.15,0.006902,3.388,8
16.55,84.98,0.006929,3.155,7
17.46,80.92,0.016737,3.454,8
17.86,252.73,0.005052,1.700,0
17.97,66.22,0.008767,4.202,10
18.33,161.77,0.009046,8.055,18
18.33,161.77,0.009046,8.055,18
18.39,72.51,0.007747,2.422,4
19.82,64.19,0.005270,1.875,1
20.03,262.37,0.007615,3.823,9
20.05,183.89,0.005041,3.604,8
20.36,61.59,0.016499,2.732,5
20.73,77.96,0.014667,3.021,6
20.73,77.96,0.014667,3.021,6
22.68,85.42,0.006533,1.684,0
22.77,101.14,0.006961,2.598,5
22.80,83.30,0.007920,1.737,0
23.15,111.41,0.006303,1.947,1
23.18,146.40,0.011070,11.909,22
23.81,73.89,0.016582,4.336,11
23.81,73.89,0.016582,4.336,11
24.48,98.46,0.007929,1.683,0
24.71,168.94,0.007305,4.594,11
25.69,64.02,0.008609,3.775,9
26.30,265.83,0.005954,3.714,9
27.42,79.36,0.010529,2.901,6
28.60,70.62,0.008659,1.905,1
28.60,70.62,0.008659,1.905,1
30.50,101.51,0.005472,1.678,0
30.96,138.23,0.006558,2.465,4
31.06,66.98,0.011657,4.956,12
31.06,66.98,0.011657,4.956,12
32.25,69.56,0.011310,8.019,18
33.00,64.67,0.009625,2.974,6
33.48,161.00,0.012090,3.647,9
33.70,145.49,0.019514,3.143,7
35.69,138.85,0.032715,5.799,14
35.69,138.85,0.032715,5.799,14
36.18,86.46,0.005357,2.630,5
36.38,155.76,0.029359,7.037,16
36.38,155.76,0.029359,7.037,16
36.38,155.76,0.029359,7.037,16
37.02,269.19,0.008430,4.664,11
38.41,64.64,0.010108,3.882,9
38.87,61.64,0.008325,7.424,17
39.03,270.98,0.005357,1.699,0
39.28,154.41,0.013930,2.896,6
39.35,164.37,0.013791,2.522,4
39.39,180.14,0.008463,9.731,20
39.88,151.99,0.032430,16.386,26
39.88,151.99,0.032430,16.386,26
39.90,69.07,0.009294,2.876,6
40.09,146.33,0.024497,2.811,6
40.38,131.47,0.037652,2.854,6
40.40,160.96,0.029385,3.464,8
40.75,91.53,0.005836,2.090,2
40.81,161.34,0.030094,3.040,6
41.49,136.86,0.022346,4.314,10
41.83,137.07,0.022227,4.549,11
42.63,142.95,0.019620,2.779,5
43.30,146.82,0.014066,2.018,2
44.62,69.44,0.012772,3.285,7
44.65,69.52,0.012579,3.387,8
45.85,166.32,0.015545,7.723,17
46.31,129.55,0.011591,1.707,0
46.79,105.32,0.005589,1.923,1
46.79,73.28,0.006275,2.125,2
46.84,58.97,0.007915,6.194,15
47.20,59.76,0.008081,4.830,12
47.27,133.54,0.011340,3.461,8
48.46,134.75,0.007971,2.062,2
48.66,158.61,0.033890,3.888,9
48.66,158.61,0.033890,3.888,9
49.47,84.75,0.005897,4.714,11
49.63,124.01,0.006594,9.932,20
49.64,254.40,0.005029,3.390,8
49.65,100.03,0.007008,1.749,0
49.68,137.40,0.024095,2.189,3
49.68,137.40,0.024095,2.189,3
49.99,97.10,0.005552,2.507,4
50.11,113.52,0.005200,1.784,0
50.16,142.19,0.012703,3.672,9
50.27,272.13,0.006965,2.907,6
50.51,111.19,0.005473,2.024,2
51.11,67.75,0.013416,5.273,13
51.36,317.98,0.010729,4.491,11
51.36,317.98,0.010729,4.491,11
51.41,149.31,0.016964,3.756,9
52.47,117.63,0.005603,1.922,1
53.31,73.98,0.006946,2.090,2
53.81,58.88,0.011941,3.171,7
55.56,52.49,0.012098,2.579,5
57.13,274.28,0.006336,3.095,7
61.39,59.40,0.008064,6.465,15
61.68,56.90,0.009053,2.168,3
61.81,59.71,0.007944,6.861,16
62.57,276.42,0.005512,2.313,3
63.29,101.93,0.008283,2.490,4
63.64,51.42,0.010277,5.833,14
64.15,88.07,0.008643,2.868,6
64.39,84.48,0.007175,2.904,6
66.12,56.57,0.006093,1.977,1
66.16,144.77,0.005348,6.974,16
66.16,144.77,0.005348,6.974,16
66.90,74.42,0.009376,3.141,7
66.90,74.42,0.009376,3.141,7
67.03,328.64,0.010424,4.714,11
67.86,63.40,0.010987,16.815,26
68.15,113.86,0.005819,2.388,4
68.15,113.86,0.005819,2.388,4
69.28,101.62,0.006858,1.873,1
69.33,104.23,0.006450,2.433,4
70.58,196.15,0.007020,17.130,26
70.58,196.15,0.007020,17.130,26
70.84,91.56,0.007081,2.635,5
71.35,136.85,0.005658,6.416,15
71.57,322.83,0.005054,5.527,13
71.64,166.09,0.005969,4.864,12
71.76,94.84,0.005489,2.455,4
71.76,94.84,0.005489,2.455,4
71.95,104.63,0.005090,17.212,26
71.95,104.63,0.005090,17.212,26
71.98,116.80,0.009600,2.610,5
72.08,52.50,0.008984,1.953,1
72.36,98.52,0.005753,2.900,6
72.77,113.21,0.006292,2.995,6
72.90,49.34,0.011857,5.653,14
73.23,148.64,0.006050,3.663,9
73.61,109.44,0.005326,1.803,0
74.13,253.99,0.006232,2.840,6
74.55,79.59,0.005862,2.304,3
74.76,95.18,0.005056,2.623,5
75.54,143.68,0.005423,2.729,5
76.55,44.56,0.008018,2.459,4
76.68,281.84,0.006694,2.940,6
77.32,79.41,0.005352,1.960,1
77.65,104.10,0.005982,2.357,3
77.81,239.09,0.014209,8.615,18
77.94,156.98,0.005063,8.790,19
78.66,251.43,0.005250,3.037,6
78.71,54.03,0.013734,1.825,1
79.00,51.21,0.012694,2.426,4
79.86,142.47,0.005031,2.341,3
79.86,142.47,0.005031,2.341,3
80.79,260.71,0.007190,3.215,7
81.74,107.83,0.005705,1.830,1
82.17,49.91,0.008092,1.751,0
82.22,58.28,0.011103,2.842,6
82.41,38.94,0.005219,11.658,22
82.47,98.60,0.008633,1.742,0
82.79,61.54,0.005244,1.833,1
82.82,45.95,0.006268,1.687,0
83.03,64.46,0.012829,2.372,4
83.27,94.30,0.005807,1.943,1
83.31,39.81,0.005314,10.221,20
84.10,284.79,0.008335,3.895,9
84.62,80.52,0.006849,5.481,13
84.82,67.14,0.008024,2.532,4
85.77,164.67,0.005164,6.998,16
86.58,113.36,0.009354,2.759,5
86.84,267.63,0.006379,1.980,1
86.98,87.38,0.006967,1.724,0
86.98,87.38,0.006967,1.724,0
87.12,74.99,0.005036,2.199,3
87.43,218.95,0.007453,22.397,29
87.66,238.12,0.006981,3.195,7
87.94,55.51,0.015569,10.859,21
88.00,89.68,0.005892,1.925,1
88.07,109.15,0.006567,3.576,8
88.33,258.27,0.006204,8.149,18
88.49,58.69,0.012655,1.821,0
88.63,61.09,0.010103,1.866,1
89.72,87.64,0.008583,1.732,0
89.72,87.64,0.008583,1.732,0
90.60,64.07,0.006316,2.171,3
90.87,105.30,0.006292,2.533,4
91.21,83.20,0.006742,2.348,3
92.53,291.61,0.005022,2.673,5
92.83,59.35,0.010690,2.739,5
93.10,40.76,0.010681,1.985,1
93.14,70.02,0.005313,1.837,1
93.32,46.62,0.012516,2.130,2
93.61,75.90,0.005883,1.937,1
93.87,50.10,0.008229,2.414,4
94.89,75.74,0.008042,6.898,16
94.89,75.74,0.008042,6.898,16
94.89,75.74,0.008042,6.898,16
95.06,75.41,0.008191,6.412,15
95.06,75.41,0.008191,6.412,15
95.37,88.42,0.005355,1.677,0
95.37,88.42,0.005355,1.677,0
95.39,102.42,0.007560,3.276,7
96.22,40.73,0.012349,2.780,5
96.28,57.89,0.006115,1.992,2
96.28,57.89,0.006115,1.992,2
96.35,45.49,0.017993,7.179,16
